"Filter","M","EbN0","BER","QAM_label"
"TASM",64,24,0.164108072916667,"64-QAM"
"TASM",64,25,0.163955078125,"64-QAM"
"TASM",64,26,0.163909505208333,"64-QAM"
"TASM",64,27,0.163893229166667,"64-QAM"
"TASM",64,28,0.163883463541667,"64-QAM"
"TASM",64,29,0.163876953125,"64-QAM"
"TASM",64,30,0.163955078125,"64-QAM"
"Sinc2",64,0,0.163870442708333,"64-QAM"
"Sinc2",64,1,0.164013671875,"64-QAM"
"Sinc2",64,2,0.163938802083333,"64-QAM"
"Sinc2",64,3,0.163844401041667,"64-QAM"
"Sinc2",64,4,0.164016927083333,"64-QAM"
"Sinc2",64,5,0.164007161458333,"64-QAM"
"Sinc2",64,6,0.163837890625,"64-QAM"
"Sinc2",64,7,0.163981119791667,"64-QAM"
"Sinc2",64,8,0.164140625,"64-QAM"
"Sinc2",64,9,0.163880208333333,"64-QAM"
"Sinc2",64,10,0.16380859375,"64-QAM"
"Sinc2",64,11,0.163938802083333,"64-QAM"
"Sinc2",64,12,0.1637890625,"64-QAM"
"Sinc2",64,13,0.1640625,"64-QAM"
"Sinc2",64,14,0.163909505208333,"64-QAM"
"Sinc2",64,15,0.163798828125,"64-QAM"
"Sinc2",64,16,0.163997395833333,"64-QAM"
"Sinc2",64,17,0.163815104166667,"64-QAM"
"Sinc2",64,18,0.163863932291667,"64-QAM"
"Sinc2",64,19,0.163938802083333,"64-QAM"
"Sinc2",64,20,0.163922526041667,"64-QAM"
"Sinc2",64,21,0.164016927083333,"64-QAM"
"Sinc2",64,22,0.163955078125,"64-QAM"
"Sinc2",64,23,0.164016927083333,"64-QAM"
"Sinc2",64,24,0.164114583333333,"64-QAM"
"Sinc2",64,25,0.163961588541667,"64-QAM"
"Sinc2",64,26,0.163896484375,"64-QAM"
"Sinc2",64,27,0.16390625,"64-QAM"
"Sinc2",64,28,0.163873697916667,"64-QAM"
"Sinc2",64,29,0.163850911458333,"64-QAM"
"Sinc2",64,30,0.163951822916667,"64-QAM"
"Ideal AWGN",256,0,0.177892094186343,"256-QAM"
"Ideal AWGN",256,1,0.171253402031973,"256-QAM"
"Ideal AWGN",256,2,0.163906226960038,"256-QAM"
"Ideal AWGN",256,3,0.155803802158266,"256-QAM"
"Ideal AWGN",256,4,0.146908368852064,"256-QAM"
"Ideal AWGN",256,5,0.137197139936598,"256-QAM"
"Ideal AWGN",256,6,0.126670156594114,"256-QAM"
"Ideal AWGN",256,7,0.11536020539142,"256-QAM"
"Ideal AWGN",256,8,0.103344655201947,"256-QAM"
"Ideal AWGN",256,9,0.0907584805729068,"256-QAM"
"Ideal AWGN",256,10,0.0778067500975165,"256-QAM"
"Ideal AWGN",256,11,0.0647734190605914,"256-QAM"
"Ideal AWGN",256,12,0.0520215075427985,"256-QAM"
"Ideal AWGN",256,13,0.0399782128059765,"256-QAM"
"Ideal AWGN",256,14,0.02909841521927,"256-QAM"
"Ideal AWGN",256,15,0.019803337550499,"256-QAM"
"Ideal AWGN",256,16,0.0123998040483201,"256-QAM"
"Ideal AWGN",256,17,0.00699956879764449,"256-QAM"
"Ideal AWGN",256,18,0.00347209590810855,"256-QAM"
"Ideal AWGN",256,19,0.00146544773418205,"256-QAM"
"Ideal AWGN",256,20,0.00050530694616429,"256-QAM"
"Ideal AWGN",256,21,0.000135237446800725,"256-QAM"
"Ideal AWGN",256,22,2.63360994435668e-05,"256-QAM"
"Ideal AWGN",256,23,3.44013387286126e-06,"256-QAM"
"Ideal AWGN",256,24,2.72040074438496e-07,"256-QAM"
"Ideal AWGN",256,25,1.14449720854378e-08,"256-QAM"
"Ideal AWGN",256,26,2.17691671670175e-10,"256-QAM"
"Ideal AWGN",256,27,1e-10,"256-QAM"
"Ideal AWGN",256,28,1e-10,"256-QAM"
"Ideal AWGN",256,29,1e-10,"256-QAM"
"Ideal AWGN",256,30,1e-10,"256-QAM"
"NGF",256,0,0.124482421875,"256-QAM"
"NGF",256,1,0.1244873046875,"256-QAM"
"NGF",256,2,0.12451416015625,"256-QAM"
"NGF",256,3,0.12452392578125,"256-QAM"
"NGF",256,4,0.12445556640625,"256-QAM"
"NGF",256,5,0.12451171875,"256-QAM"
"NGF",256,6,0.12450439453125,"256-QAM"
"NGF",256,7,0.1245068359375,"256-QAM"
"NGF",256,8,0.1244921875,"256-QAM"
"NGF",256,9,0.1244775390625,"256-QAM"
"NGF",256,10,0.124482421875,"256-QAM"
"NGF",256,11,0.1245263671875,"256-QAM"
"NGF",256,12,0.12451904296875,"256-QAM"
"NGF",256,13,0.12455078125,"256-QAM"
"NGF",256,14,0.12448974609375,"256-QAM"
"NGF",256,15,0.1244384765625,"256-QAM"
"NGF",256,16,0.12455322265625,"256-QAM"
"NGF",256,17,0.124462890625,"256-QAM"
"NGF",256,18,0.12451904296875,"256-QAM"
"NGF",256,19,0.12447998046875,"256-QAM"
"NGF",256,20,0.12451904296875,"256-QAM"
"NGF",256,21,0.12447998046875,"256-QAM"
"NGF",256,22,0.124404296875,"256-QAM"
"NGF",256,23,0.12450927734375,"256-QAM"
"NGF",256,24,0.12451416015625,"256-QAM"
"NGF",256,25,0.12449951171875,"256-QAM"
"NGF",256,26,0.12449462890625,"256-QAM"
"NGF",256,27,0.1244921875,"256-QAM"
"NGF",256,28,0.12450439453125,"256-QAM"
