"Filter","freq","psd_lin","psd_dB"
"NGF",0.0732421875,5.45509828324765e-08,-46.6924588959024
"NGF",0.073486328125,5.69698901922535e-08,-46.5040308680064
"NGF",0.07373046875,5.86634523581014e-08,-46.376808514386
"NGF",0.073974609375,5.95617353931311e-08,-46.3108112628254
"NGF",0.07421875,5.96099116144515e-08,-46.3072999128116
"NGF",0.074462890625,5.87742441856812e-08,-46.3686141619678
"NGF",0.07470703125,5.70500212263332e-08,-46.4979265882843
"NGF",0.074951171875,5.44695973712756e-08,-46.6989430410438
"NGF",0.0751953125,5.11083688678318e-08,-46.9755644857345
"NGF",0.075439453125,4.70867359003613e-08,-47.3314988341041
"NGF",0.07568359375,4.2566851369322e-08,-47.769769421651
"NGF",0.075927734375,3.77440336045967e-08,-48.2920015896207
"NGF",0.076171875,3.28338527818196e-08,-48.897266225736
"NGF",0.076416015625,2.80567925876851e-08,-49.5801044756134
"NGF",0.07666015625,2.36228123589613e-08,-50.3271686889406
"NGF",0.076904296875,1.97179940855407e-08,-51.1118573715828
"NGF",0.0771484375,1.64948148295355e-08,-51.8870102464113
"NGF",0.077392578125,1.40666386696109e-08,-52.5785813730898
"NGF",0.07763671875,1.2506052609498e-08,-53.0892821786357
"NGF",0.077880859375,1.18459527300169e-08,-53.3247847386501
"NGF",0.078125,1.20820078261693e-08,-53.2390935645906
"NGF",0.078369140625,1.3175332278341e-08,-52.8628689235573
"NGF",0.07861328125,1.50547775188837e-08,-52.2837412732282
"NGF",0.078857421875,1.76189741628608e-08,-51.600678504716
"NGF",0.0791015625,2.07388544284702e-08,-50.8926370598417
"NGF",0.079345703125,2.42616340991172e-08,-50.2112842052225
"NGF",0.07958984375,2.80170345469381e-08,-49.5862630353135
"NGF",0.079833984375,3.18259350411137e-08,-49.0326729714988
"NGF",0.080078125,3.55108600771144e-08,-48.5568727807731
"NGF",0.080322265625,3.89069965336896e-08,-48.1602076288788
"NGF",0.08056640625,4.18720547653348e-08,-47.841241958496
"NGF",0.080810546875,4.42933859538099e-08,-47.5970958850342
"NGF",0.0810546875,4.60913382823741e-08,-47.4242915092882
"NGF",0.081298828125,4.72187133806146e-08,-47.3193431995643
"NGF",0.08154296875,4.76571052101414e-08,-47.2792081029042
"NGF",0.081787109375,4.7411583898486e-08,-47.3016400495106
"NGF",0.08203125,4.65054221722718e-08,-47.3854487795144
"NGF",0.082275390625,4.49762906511364e-08,-47.530648343467
"NGF",0.08251953125,4.28746697608167e-08,-47.7384768122815
"NGF",0.082763671875,4.02643643414218e-08,-48.0112762194758
"NGF",0.0830078125,3.72242345756602e-08,-48.3522269284472
